Year,County,Total Cost,Arson,Campfire,Debris Burning,Electrical Power,Equipment Use,Lightning,Miscellaneous,Playing With Fire,Railroad,Smoking,Undetermined,Vehicle
2017,San Bernardino,28361,0,0,0,0,1000,0,50,0,0,100,2211,25000
2017,San Diego,18054,0,0,0,5101,0,0,9500,0,0,0,2253,1200
2017,San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,San Joaquin,26219,0,0,0,7200,2418,0,1101,0,0,0,12500,3000
2017,San Luis Obispo,3765125,0,0,502,30874,830351,0,2800,0,0,0,41850,2858748
2017,San Mateo,1900,0,0,0,1700,0,0,0,0,0,0,200,0
2017,Santa Clara,73510,0,50000,0,0,15000,0,2800,0,0,0,5710,0
2017,Santa Cruz,1142615,1140000,0,600,1015,300,0,0,0,0,0,700,0
2017,Shasta,3133700,16200,0,200,35600,15700,0,3000000,0,0,5000,10000,51000
2017,Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Siskiyou,146800,35000,0,9050,2300,32500,0,21000,300,0,0,38600,8050
2017,Solano,1501000,0,0,0,0,1501000,0,0,0,0,0,0,0
2017,Sonoma,2005343853,0,0,0,2004350000,964502,0,1251,0,0,0,0,28100
2017,Stanislaus,13520,100,0,0,0,9500,0,200,0,0,0,400,3320
2017,Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Tehama,498670,0,2000,13700,225000,166900,11400,29850,200,0,0,12620,37000
2017,Trinity,1508,0,0,0,0,0,508,0,0,0,0,0,1000
2017,Tulare,24105,1000,0,0,5000,5000,0,105,0,0,0,13000,0
2017,Tuolumne,587336,0,400,1680,12500,0,0,3500,100,2600,0,557130,9426
2017,Yolo,20100000,0,0,20100000,0,0,0,0,0,0,0,0,0
2017,Yuba,2001011250,100,0,100,2000000000,1000000,0,500,0,0,0,2100,8450
2018,Alameda,155477,0,0,0,0,400,0,144125,0,0,0,10952,0
2018,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amador,1091200,0,0,30000,255000,800000,0,200,0,0,0,0,6000
2018,Butte**,2000707648,8000,0,1000,2000176698,380000,0,71700,40000,0,0,0,30250
2018,Calaveras,144110,0,400,860,1260,11801,1000,144,0,0,0,70625,58020
2018,Colusa,275000,0,0,0,250000,25000,0,0,0,0,0,0,0
2018,Contra Costa,2612150,0,0,0,150,100,0,5000,0,0,0,2606900,0
2018,Del Norte,9500,0,0,0,0,0,0,7400,0,0,0,100,2000
2018,El Dorado,1968103,0,0,10002,4100,400,0,15500,0,0,0,1915001,23100
2018,Fresno,111401,20000,0,250,0,28150,0,800,10000,0,0,12201,40000
2018,Glenn,810500,0,0,0,0,0,0,810000,0,0,0,500,0
2018,Humboldt,1337883,13100,0,60000,200,455500,0,663212,0,0,0,96871,49000
2018,Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Inyo,2000,0,0,0,2000,0,0,0,0,0,0,0,0
2018,Kings,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lake,7182249,450,0,2,64003,74851,0,7035341,0,0,0,2,7600
2018,Lassen,1476777,0,300000,0,303000,75400,516,12861,400000,0,0,374000,11000
2018,Madera,300282,275,0,100105,159300,9500,0,3700,200,0,0,102,27100
2018,Mariposa,194400,0,0,0,100000,41300,0,30000,0,0,0,20000,3100
2018,Mendocino,30763211,0,0,3,0,27250,0,30305000,2,0,0,427956,3000
2018,Merced,1368100,0,0,0,0,1364000,0,200,0,0,0,2900,1000
2018,Modoc,2403,0,0,0,0,2101,300,0,0,0,0,2,0
2018,Mono,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Monterey,221912,20300,0,0,3500,3000,0,4500,0,0,0,102100,88512
2018,Napa,6639852,0,0,1,0,15000,0,51,0,0,0,6620500,4300
2018,Nevada,1837232,0,0,0,20700,43000,0,12000,0,0,0,1677781,83751
2018,Plumas,1002,0,0,0,0,0,0,0,0,0,0,1002,0
2018,Riverside,115605,0,0,0,1000,1000,0,0,0,0,0,103603,10002
2018,Sacramento,2,0,0,0,2,0,0,0,0,0,0,0,0
2018,San Benito,74060,0,0,10000,42960,0,0,100,0,0,0,21000,0
2018,San Bernardino,87000,1000,0,0,0,10000,0,10500,0,0,0,65500,0
2018,San Diego,661802,0,0,2,120000,100,0,365050,0,0,0,13150,163500
2018,San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,San Joaquin,3545100,0,0,2400,0,3542700,0,0,0,0,0,0,0
2018,San Luis Obispo,64793,0,50,0,9343,3720,0,100,0,0,0,5500,46080
2018,San Mateo,501,0,0,0,500,1,0,0,0,0,0,0,0
2018,Santa Clara,435220,0,0,200000,0,80000,0,800,0,0,0,152420,2000
2018,Santa Cruz,1017500,6000,0,0,1500,1250,0,550,0,0,0,1004200,4000
2018,Shasta,2001632823,22100,310000,0,2200,213925,0,125500,0,0,0,531100,2000427998
2018,Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Siskiyou,5903209,5431459,0,25500,0,10250,0,329000,0,0,0,0,107000
2018,Solano,803800,0,0,0,0,3800,0,800000,0,0,0,0,0
2018,Sonoma,179486,0,0,0,202,8277,0,71002,0,0,0,0,100005
2018,Stanislaus,40500,22000,0,0,100,100,0,0,0,0,0,5700,12600
2018,Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Tehama,7227100,3000,0,0,246800,1450700,0,540100,1300,0,400,1938300,3046500
2018,Trinity,71300,0,0,0,200,0,0,71000,0,0,0,100,0
2018,Tulare,357026,15000,0,0,1000,9700,0,330526,0,0,0,800,0
2018,Tuolumne,63896,0,40100,1240,350,4200,0,896,0,0,100,1200,15810
2018,Yolo,6500,0,0,0,5000,500,0,0,0,0,0,1000,0
2018,Yuba,491300,5000,0,0,30000,208600,0,200000,0,0,0,44000,3700
2019,Alameda,96100,10000,0,0,0,1500,0,0,0,0,0,3500,81100
2019,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Amador,82201,0,0,1,0,80500,0,1200,0,0,0,500,0
2019,Butte,175501,100700,0,1100,1000,4000,1,0,0,0,0,63500,5200
2019,Calaveras,1104399,400228,200,128800,1500,3000,350,11500,0,0,0,25017,533804
2019,Colusa,80000,0,0,0,0,0,80000,0,0,0,0,0,0
2019,Contra Costa,234970,218460,400,0,100,3600,0,4500,0,0,0,6710,1200
2019,Del Norte,5000,5000,0,0,0,0,0,0,0,0,0,0,0
2019,El Dorado,3041902,36000,0,0,0,1200,0,500,0,0,0,3004202,0
2019,Fresno,53530,1000,0,100,32050,19000,0,500,0,0,500,280,100
2019,Glenn,160950,0,1050,0,2500,400,157000,0,0,0,0,0,0
2019,Humboldt,26701,1600,100,900,1,21000,0,1200,0,0,0,1400,500
2019,Imperial,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Inyo,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Kings,1256,0,0,0,1256,0,0,0,0,0,0,0,0
2019,Lake,212965,50,0,2,31,129682,0,0,0,0,500,17000,65700
2019,Lassen,6320,0,0,5600,20,200,500,0,0,0,0,0,0
2019,Madera,20580,2000,0,4700,5060,2200,0,2000,0,0,800,2000,1820
2019,Mariposa,261852,0,0,42,1610,7200,250,0,0,0,0,52550,200200
2019,Mendocino,108800,0,0,6000,1000,40000,0,1600,0,0,0,20000,40200
2019,Merced,146600,4500,0,0,0,105000,0,0,0,0,0,10100,27000
2019,Modoc,502,0,0,0,0,0,0,2,0,0,0,0,500
2019,Mono,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Monterey,39951,0,500,1000,7150,301,0,0,0,0,0,100,30900
2019,Napa,31875,0,0,0,2175,19200,0,0,500,0,0,0,10000
2019,Nevada,329550,0,50,0,127000,16300,0,170500,0,0,0,5700,10000
2019,Plumas,1500,0,0,1500,0,0,0,0,0,0,0,0,0
2019,Riverside,496090,0,0,6000,40,12100,0,11850,10000,0,500,442600,13000
2019,Sacramento,23000,0,0,0,0,0,0,0,0,0,0,15000,8000
2019,San Benito,2570,20,0,0,0,1050,0,500,0,0,500,300,200
2019,San Bernardino,158900,0,0,0,1400,150,0,250,100,0,0,145500,11500
2019,San Diego,371100,0,0,0,5000,1400,0,0,0,0,0,269200,95500
2019,San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,San Joaquin,18480,4600,0,0,1080,1500,0,500,0,0,0,0,10800
2019,San Luis Obispo,4876280,0,0,60,4510720,20400,0,125000,0,0,0,213000,7100
2019,San Mateo,100000,0,0,0,0,0,0,0,0,0,0,0,100000
2019,Santa Clara,456275,34450,0,0,0,69000,0,7825,0,0,0,340000,5000
2019,Santa Cruz,16406,0,0,11000,1500,0,0,200,0,0,0,50,3656
2019,Shasta,4686340,4000000,50500,21000,19000,81800,1000,100000,0,0,100,405000,7940
2019,Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Siskiyou,211500,2000,0,0,200000,0,0,9000,0,0,0,0,500
2019,Solano,8601,0,0,1,8000,600,0,0,0,0,0,0,0
2019,Sonoma,383902720,0,0,200,383750000,0,0,108020,0,0,0,0,44500
2019,Stanislaus,104284,500,0,800,350,38108,0,1876,50,0,0,100,62500
2019,Sutter,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Tehama,1220000,400,200200,289200,10700,9900,315200,37850,0,0,0,46350,310200
2019,Trinity,17300,0,0,0,0,1500,0,800,0,0,0,15000,0
2019,Tulare,362717,800,0,2000,0,8502,0,350000,0,0,0,1415,0
2019,Tuolumne,145750,0,0,2100,137500,1100,0,400,1050,0,200,200,3200
2019,Yolo,4200,0,0,0,3000,200,0,1000,0,0,0,0,0
2019,Yuba,503701,0,1001,0,12500,4000,0,456000,200,0,0,15000,15000
