Incident Number,County,Fire Name,Date Start,Date Contained,Origin DPA,DPA Type,Acres Burned,Vegetation Type,Cause,Structures Destroyed,Structures Damaged,Fatalities Fire,Fatalities Civil
HUU-6956,HUMBOLDT,TULLY,8/22/16,9/9/16,CAL FIRE,State and Contract Counties ,599,BT,ARSON,3,,,
SKU-7392,SISKIYOU,GRADE,8/24/16,9/10/16,CAL FIRE,State and Contract Counties ,710,BGT,ELECTRICAL POWER,10,1,,
TCU-9339,CALAVERAS,WILLOW,8/28/16,9/4/16,CAL FIRE,State and Contract Counties ,450,BGT,VEHICLE,,1,,
RRU-105125,RIVERSIDE,BOGART,8/30/16,9/5/16,CAL FIRE,State and Contract Counties ,1470,BG,UNDETERMINED,1,,,
KRN-32226,KERN,RANGE,8/26/16,8/31/16,CC,State and Contract Counties ,600,BGT,HUMAN,,,,
KRN-32375,KERN,HAVILA,8/27/16,8/31/16,CC,State and Contract Counties ,304,BG,UNDETERMINED,,,,
BTU-13655,BUTTE,SADDLE,9/5/16,9/22/16,CAL FIRE,State and Contract Counties ,800,BGT,VEHICLE,3,,,
LMU-4700,MODOC,HOWARD,9/11/16,9/15/16,CAL FIRE,State and Contract Counties ,380,BGT,RAILROAD,,,,
LMU-4695,LASSEN,WILLARD,9/11/16,10/12/16,CAL FIRE,State and Contract Counties ,2575,BGT,UNDETERMINED,7,,,
TGU-8080,TAHEMA,HOG,9/13/16,9/13/16,CAL FIRE,State and Contract Counties ,321,BGT,ELECTRICAL POWER,,,,
KRN-35570,KERN,FLAT,9/19/16,9/22/16,CC,State and Contract Counties ,307,G,EQUIPMENT,,,,
LNU-9129,SONOMA,SAWMILL,9/25/16,10/1/16,CAL FIRE,State and Contract Counties ,1547,BG,UNDETERMINED,,,,
TCU-10403,TUOLUMNE,MARSHES,9/26/16,10/4/16,CAL FIRE,State and Contract Counties ,1080,BGT,VEHICLE,,,,
SCU-6912,SANTA CLARA,LOMA,9/26/16,11/8/16,CAL FIRE,State and Contract Counties ,4474,BT,UNDETERMINED,28,1,,
SLU-5280,SAN LUIS OBISPO,CAMP ROBERTS,5/18/16,5/20/16,MIL,Other Agencies,3712,G,UNDETERMINED,,,,
CND-1134,TULARE,CHIMNEY,6/1/16,6/7/16,BLM,Other Agencies,1324,BG,HUMAN,,,,
FHL-1475,MONTEREY,STONY,6/2/16,6/17/16,USFS,Other Agencies,3000,BG,UNDETERMINED,,,,
CND-1171,SAN LUIS OBISPO,SODA,6/4/16,6/6/16,BLM,Other Agencies,2003,BG,UNDETERMINED,,,,
LAC-457,LOS ANGELES,OLD,6/4/16,6/10/16,LOCAL,Other Agencies,465,BG,UNDETERMINED,9,1,,
LPF-1504,MONTEREY,COLEMAN,6/4/16,6/17/16,USFS,Other Agencies,2520,BG,UNDETERMINED,1,,,
KNF-4500,SISKIYOU,PONY,6/7/16,10/2/16,USFS,Other Agencies,2860,BT,UNDETERMINED,,,,
SBC-7344,SANTA BARBARA,SHERPA,6/15/16,6/23/16,USFS,Other Agencies,7474,BG,UNDETERMINED,5,,,
ANF-2417,LOS ANGELES,RESERVOIR,6/20/16,7/5/16,USFS,Other Agencies,1146,BG,HUMAN,,,,1
LAC-177288,LOS ANGELES,FISH,6/20/16,7/5/16,USFS,Other Agencies,4253,BG,HUMAN,,,,
CND-1415,KERN,ERSKINE,6/23/16,7/9/16,USFS,Other Agencies,48019,BGT,UNDETERMINED,286,12,,2
INF-992,MONO,MARINA,6/24/16,7/4/16,USFS,Other Agencies,654,BT,UNDETERMINED,1,,,
YNP-41,MARIPOSA,LAKES,6/26/16,10/31/16,NPS,Other Agencies,1001,BT,LIGHTNING,,,,
LPF-1986,VENTURA,PINE,6/30/16,7/17/16,USFS,Other Agencies,2304,BT,UNDETERMINED,,,,
MCP-2125,SAN DIEGO,ROBLAR,7/21/16,7/27/16,MIL,Other Agencies,1245,BG,UNDETERMINED,,,,
ANF-3008,LOS ANGELES,SAND,7/22/16,8/6/16,USFS,Other Agencies,41383,BGT,UNDETERMINED,116,20,,1
INF-1415,MONO,CLARK,8/4/16,8/12/16,USFS,Other Agencies,2819,BGT,LIGHTNING,,,,
BDF-10205,SAN BERNARDINO,PILOT,8/7/16,8/16/16,USFS,Other Agencies,8110,BGT,UNDETERMINED,,,,
INF-1457,INYO,HORSESHOE,8/9/16,8/17/16,USFS,Other Agencies,369,BT,UNDETERMINED,,,,
SQF-2595,KERN,CEDAR,8/16/16,9/24/16,USFS,Other Agencies,29322,BT,UNDETERMINED,6,,,
BDF-10468,SAN BERNARDINO,BLUECUT,8/16/16,9/8/16,USFS,Other Agencies,36274,BGT,UNDETERMINED,321,8,,
LPF-2809,SANTA BARBARA,REY,8/18/16,9/15/16,USFS,Other Agencies,32606,BG,UNDETERMINED,5,,,
STF-2257,ALPINE,MOKELUMNE,8/19/16,9/20/16,USFS,Other Agencies,655,BGT,LIGHTNING,,,,
SQF-2683,TULARE,TULE,8/22/16,8/22/16,USFS,Other Agencies,395,BGT,UNDETERMINED,,,,
KNF-7501,SISKIYOU,GAP,8/27/16,9/16/16,USFS,Other Agencies,33867,BT,UNDETERMINED,14,,,
SNF-2154,FRESNO,CROWN,9/15/16,10/31/16,USFS,Other Agencies,800,T,LIGHTNING,,,,
AFV-3151,SANTA BARBARA,CANYON,9/17/16,9/24/16,MIL,Other Agencies,12742,B,UNDETERMINED,,,1,
MDF-910,MODOC,SOUP COMPLEX,9/17/16,10/31/16,USFS,Other Agencies,2722,GT,UNDETERMINED,,,,
INF-1763,MONO,OWENS RIVER,9/17/16,10/15/16,USFS,Other Agencies,5443,BGT,UNDETERMINED,4,,,
