"Year","County","Cause","Acres","destroyed","damaged","dead_fire","dead_civil","value"
2017,"MENDOCINO","ELECTRICAL POWER",36523,543,41,0,9,12
2017,"MENDOCINO","VEHICLE",900,1,0,0,0,500
2017,"MERCED","UNDETERMINED",1733,0,0,0,0,200
2017,"MODOC","LIGHTNING",8443,1,0,0,0,200
2017,"MODOC","MISCELLANEOUS",811,0,0,0,0,0
2017,"MODOC","UNDETERMINED",83760,0,0,0,0,109035
2017,"MONO","LIGHTNING",9325,0,0,0,0,0
2017,"MONO","UNDETERMINED",370,0,0,0,0,0
2017,"MONTEREY","ELECTRICAL POWER",1816,0,1,0,0,4665
2017,"MONTEREY","MISCELLANEOUS",1972,0,0,0,0,528350
2017,"NAPA","ELECTRICAL POWER",96714,783,437,1,27,4000630600
2017,"NEVADA","ELECTRICAL POWER",897,60,4,0,0,4e+09
2017,"NEVADA","UNDETERMINED",1139,1,1,0,0,5500
2017,"PLUMAS","LIGHTNING",1458,0,0,0,0,0
2017,"PLUMAS","UNDETERMINED",4310,0,0,0,0,100
2017,"RIVERSIDE","ELECTRICAL POWER",900,3,1,0,0,1300
2017,"RIVERSIDE","PLAYING WITH FIRE",3800,0,1,0,0,500
2017,"RIVERSIDE","UNDETERMINED",1500,0,46,0,0,5213
2017,"RIVERSIDE","VEHICLE",8525,0,0,0,0,122700
2017,"SACRAMENTO","DEBRIS BURNING",1268,0,0,0,0,0
2017,"SAN BERNARDINO","UNDETERMINED",2958,1,0,0,0,2211
2017,"SAN DIEGO","MISCELLANEOUS",486,0,0,0,0,9500
2017,"SAN DIEGO","UNDETERMINED",7993,157,64,0,0,2253
2017,"SAN DIEGO","VEHICLE",400,0,0,0,0,1200
2017,"SAN LUIS OBISPO","EQUIPMENT USE",340,3,0,0,0,830351
2017,"SAN LUIS OBISPO","UNDETERMINED",29137,14,1,0,0,41850
2017,"SAN LUIS OBISPO","VEHICLE",1626,7,0,0,0,2858748
2017,"SANTA CRUZ","ARSON",391,6,0,0,0,1140000
2017,"SHASTA","LIGHTNING",900,0,0,0,0,0
2017,"SISKIYOU","LIGHTNING",105974,0,0,0,0,0
2017,"SISKIYOU","MISCELLANEOUS",496,1,0,0,0,21000
2017,"SISKIYOU","UNDETERMINED",66208,1,0,0,0,38600
2017,"SONOMA","ELECTRICAL POWER",65630,6,174,0,3,2004350000
2017,"TRINITY","LIGHTNING",18170,0,0,0,0,508
2017,"TRINITY","MISCELLANEOUS",21449,131,0,0,0,0
2017,"TULARE","ARSON",2705,0,0,0,0,1000
2017,"TULARE","EQUIPMENT USE",339,0,0,0,0,5000
2017,"TULARE","LIGHTNING",37541,0,0,0,0,0
2017,"TULARE","MISCELLANEOUS",36556,2,0,0,0,105
2017,"TUOLUMNE","LIGHTNING",1749,0,0,0,0,0
2017,"TUOLUMNE","UNDETERMINED",5248,0,0,0,0,557130
2017,"YOLO","VEHICLE",1700,0,0,0,0,0
2017,"YUBA","ELECTRICAL POWER",9989,264,10,0,4,2e+09
2017,"YUBA","UNDETERMINED",950,0,0,0,0,2100
