"Incident.Number","County","Fire.Name","Date.Start","Date.Contained","Origin.DPA","DPA.Type","Acres.Burned","Vegetation.Type","Cause","Structures.Destroyed","Structures.Damaged","Fatalities.Fire","Fatalities.Civil","Year","Month","Timber","Brush","Woodland","Grass","Agricultural","Structures.All","Fatalities.All"
"MEU-8307","MENDOCINO","GRADE","7/16/17","7/18/17","CAL FIRE","State and Contract Counties ",900,"BG","VEHICLE",1,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"MMU-14474","MARIPOSA","DETWILER","7/16/17","8/31/17","CAL FIRE","State and Contract Counties ",81826,"BG","SHOOTING",134,21,NA,NA,"2017",7,0,1,0,1,0,155,NA
"FKU-10248","FRESNO","PARK","7/17/17","7/30/17","CAL FIRE","State and Contract Counties ",1649,"BG","EQUIPMENT USE",NA,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"TUU-420","TULARE","ELEPHANT 2","7/20/17","7/21/17","CAL FIRE","State and Contract Counties ",416,"G","ARSON",NA,NA,NA,NA,"2017",7,0,0,0,1,0,NA,NA
"AEU-21652","SACRAMENTO","LATROBE","7/26/17","7/28/17","CAL FIRE","State and Contract Counties ",1268,"G","DEBRIS BURNING",NA,NA,NA,NA,"2017",7,0,0,0,1,0,NA,NA
"TCU-9024","TOULUMNE","JACKSONVILLE","7/29/17","8/4/17","CAL FIRE","State and Contract Counties ",675,"BG","UNDETERMINED",1,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"TUU-441","TULARE","ROADRUNNER","7/30/17","7/31/17","CAL FIRE","State and Contract Counties ",2289,"G","ARSON",NA,NA,NA,NA,"2017",7,0,0,0,1,0,NA,NA
"BDU-10918","SAN BERNARDINO","BRYANT 2","8/3/17","8/14/17","CAL FIRE","State and Contract Counties ",325,"BG","UNDETERMINED",1,NA,NA,NA,"2017",8,0,1,0,1,0,NA,NA
"RRU-99747","RIVERSIDE","BLAINE","8/13/17","8/16/17","CAL FIRE","State and Contract Counties ",1500,"BG","UNDETERMINED",NA,46,NA,NA,"2017",8,0,1,0,1,0,NA,NA
"RRU-100591","RIVERSIDE","MIAS","8/14/17","8/18/17","CAL FIRE","State and Contract Counties ",600,"BG","ELECTRICAL POWER",NA,NA,NA,NA,"2017",8,0,1,0,1,0,NA,NA
"BTU-13737","BUTTE","PONDEROSA","8/29/17","10/28/17","CAL FIRE","State and Contract Counties ",4016,"BT","CAMPFIRE",55,NA,NA,NA,"2017",8,1,1,0,0,0,NA,NA
"NEU-22877","NEVADA","PLEASANT","8/30/17","9/6/17","CAL FIRE","State and Contract Counties ",392,"BT","UNDETERMINED",1,1,NA,NA,"2017",8,1,1,0,0,0,2,NA
"RRU-108660","RIVERSIDE","PALMER","9/2/17","9/9/17","CAL FIRE","State and Contract Counties ",3800,"BG","PLAYING WITH FIRE",NA,1,NA,NA,"2017",9,0,1,0,1,0,NA,NA
"MMU-18115","MADERA","MISSION","9/3/17","9/13/17","CAL FIRE","State and Contract Counties ",1037,"BT","ELECTRICAL POWER",7,4,NA,NA,"2017",9,1,1,0,0,0,11,NA
"MMU-18116","MADERA","PEAK","9/3/17","9/9/17","CAL FIRE","State and Contract Counties ",680,"BT","VEHICLE",4,NA,NA,NA,"2017",9,1,1,0,0,0,NA,NA
"SHU-9460","SHASTA","BERRY","9/12/17","10/4/17","CAL FIRE","State and Contract Counties ",900,"B","LIGHTNING",NA,NA,NA,NA,"2017",9,0,1,0,0,0,NA,NA
"MMU-19222","MADERA","EASTMAN","9/18/17","9/19/17","CAL FIRE","State and Contract Counties ",483,"G","ELECTRICAL POWER",NA,NA,NA,NA,"2017",9,0,0,0,1,0,NA,NA
"SBC-12621","SANTA BARBARA","RUCKER","9/29/17","10/4/17","CC","State and Contract Counties ",444,"BG","MISCELLANEOUS",NA,NA,NA,NA,"2017",9,0,1,0,1,0,NA,NA
"ORC-1478","ORANGE","CANYON","9/25/17","10/3/17","CC","State and Contract Counties ",2662,"BG","MISCELLANEOUS",NA,7,NA,NA,"2017",9,0,1,0,1,0,NA,NA
"BTU-15933","BUTTE","CHEROKEE","10/8/17","11/5/17","CAL FIRE","State and Contract Counties ",8500,"BG","ELECTRICAL POWER",6,1,NA,NA,"2017",10,0,1,0,1,0,7,NA
"NEU-26269","YUBA","CASCADE (NEU WIND COMPLEX)*","10/8/17","10/19/17","CAL FIRE","State and Contract Counties ",9989,"BT","ELECTRICAL POWER",264,10,NA,4,"2017",10,1,1,0,0,0,274,NA
"NEU-26279","NEVADA","MCCOURTNEY (NEU WIND COMPLEX)","10/8/17","10/21/17","CAL FIRE","State and Contract Counties ",76,"BT","ELECTRICAL POWER",13,2,NA,NA,"2017",10,1,1,0,0,0,15,NA
"NEU-26275","NEVADA","LOBO (NEU WIND COMPLEX)","10/8/17","10/22/17","CAL FIRE","State and Contract Counties ",821,"BT","ELECTRICAL POWER",47,2,NA,NA,"2017",10,1,1,0,0,0,49,NA
"LNU-10045","NAPA","TUBBS (CENTRAL LNU COMPLEX)","10/8/17","10/31/17","CAL FIRE","State and Contract Counties ",36807,"BGT","ELECTRICAL POWER",NA,317,1,21,"2017",10,1,1,0,1,0,NA,22
"LNU-10049","SONOMA","NUNS (CENTRAL LNU COMPLEX)","10/9/17","10/31/17","CAL FIRE","State and Contract Counties ",44573,"BGT","ELECTRICAL POWER",NA,172,NA,3,"2017",10,1,1,0,1,0,NA,NA
"LNU-10050","SONOMA","ADOBE (CENTRAL LNU COMPLEX - NUNS)","10/8/17","10/31/17","CAL FIRE","State and Contract Counties ",3700,"BGT","ELECTRICAL POWER",NA,NA,NA,NA,"2017",10,1,1,0,1,0,NA,NA
