"Incident.Number","County","Fire.Name","Date.Start","Date.Contained","Origin.DPA","DPA.Type","Acres.Burned","Vegetation.Type","Cause","Structures.Destroyed","Structures.Damaged","Fatalities.Fire","Fatalities.Civil","Year","Month","Timber","Brush","Woodland","Grass","Agricultural","Structures.All","Fatalities.All"
"SHU-6739","SHASTA","FIDDLER","7/8/16","7/9/16","CAL FIRE","State and Contract Counties ",303,"BGT","ARSON",1,1,NA,NA,"2016",7,1,1,0,1,0,2,NA
"KRN-25390","KERN","FORT","7/8/16","7/9/16","CC","State and Contract Counties ",554,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",7,0,1,0,1,0,NA,NA
"LAC-198015","LOS ANGELES","SAGE","7/9/16","7/16/16","CC","State and Contract Counties ",1100,"BGT","CAMPFIRE",NA,2,NA,NA,"2016",7,1,1,0,1,0,NA,NA
"TCU-7341","CALAVERAS","PACHECO","7/12/16","7/18/16","CAL FIRE","State and Contract Counties ",341,"BGT","EQUIPMENT",2,NA,NA,NA,"2016",7,1,1,0,1,0,NA,NA
"BEU-3422","MONTEREY","SOBERANES","7/22/16","10/13/16","CAL FIRE","State and Contract Counties ",132127,"BGT","CAMPFIRE",68,5,1,NA,"2016",7,1,1,0,1,0,73,NA
"FKU-10852","FRESNO","GOOSE","7/30/16","8/9/16","CAL FIRE","State and Contract Counties ",2241,"BG","ARSON",9,1,NA,NA,"2016",7,0,1,0,1,0,10,NA
"BTU-11608","BUTTE","99","8/2/16","8/8/16","CAL FIRE","State and Contract Counties ",520,"G","PLAYING WITH FIRE",NA,NA,NA,NA,"2016",8,0,0,0,1,0,NA,NA
"LNU-7135","YOLO","COLD","8/2/16","8/12/16","CAL FIRE","State and Contract Counties ",5731,"BG","UNDETERMINED",2,NA,NA,NA,"2016",8,0,1,0,1,0,NA,NA
"FKU-11358","FRESNO","MINERAL","8/8/16","8/19/16","CAL FIRE","State and Contract Counties ",7050,"BG","ARSON",2,NA,NA,NA,"2016",8,0,1,0,1,0,NA,NA
"SLU-8948","SAN LUIS OBISPO","CHIMNEY","8/13/16","9/7/16","CAL FIRE","State and Contract Counties ",46235,"BT","VEHICLE",70,8,NA,NA,"2016",8,1,1,0,0,0,78,NA
"BEU-2369","MONTEREY","METZ","5/22/16","5/25/16","CAL FIRE","State and Contract Counties ",3876,"BG","DEBRIS BURNING",NA,NA,NA,NA,"2016",5,0,1,0,1,0,NA,NA
"LNU-7582","LAKE","CLAYTON","8/13/16","9/3/16","CAL FIRE","State and Contract Counties ",3929,"BG","ARSON",300,28,NA,NA,"2016",8,0,1,0,1,0,328,NA
"NEU-20037","YUBA","BEALE","8/18/16","8/19/16","CAL FIRE","State and Contract Counties ",389,"G","MISCELLANEOUS",NA,NA,NA,NA,"2016",8,0,0,0,1,0,NA,NA
"HUU-6956","HUMBOLDT","TULLY","8/22/16","9/9/16","CAL FIRE","State and Contract Counties ",599,"BT","ARSON",3,NA,NA,NA,"2016",8,1,1,0,0,0,NA,NA
"SKU-7392","SISKIYOU","GRADE","8/24/16","9/10/16","CAL FIRE","State and Contract Counties ",710,"BGT","ELECTRICAL POWER",10,1,NA,NA,"2016",8,1,1,0,1,0,11,NA
"TCU-9339","CALAVERAS","WILLOW","8/28/16","9/4/16","CAL FIRE","State and Contract Counties ",450,"BGT","VEHICLE",NA,1,NA,NA,"2016",8,1,1,0,1,0,NA,NA
"RRU-105125","RIVERSIDE","BOGART","8/30/16","9/5/16","CAL FIRE","State and Contract Counties ",1470,"BG","UNDETERMINED",1,NA,NA,NA,"2016",8,0,1,0,1,0,NA,NA
"KRN-32226","KERN","RANGE","8/26/16","8/31/16","CC","State and Contract Counties ",600,"BGT","HUMAN",NA,NA,NA,NA,"2016",8,1,1,0,1,0,NA,NA
"KRN-32375","KERN","HAVILA","8/27/16","8/31/16","CC","State and Contract Counties ",304,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",8,0,1,0,1,0,NA,NA
"BTU-13655","BUTTE","SADDLE","9/5/16","9/22/16","CAL FIRE","State and Contract Counties ",800,"BGT","VEHICLE",3,NA,NA,NA,"2016",9,1,1,0,1,0,NA,NA
"LMU-4700","MODOC","HOWARD","9/11/16","9/15/16","CAL FIRE","State and Contract Counties ",380,"BGT","RAILROAD",NA,NA,NA,NA,"2016",9,1,1,0,1,0,NA,NA
"LMU-4695","LASSEN","WILLARD","9/11/16","10/12/16","CAL FIRE","State and Contract Counties ",2575,"BGT","UNDETERMINED",7,NA,NA,NA,"2016",9,1,1,0,1,0,NA,NA
"TGU-8080","TAHEMA","HOG","9/13/16","9/13/16","CAL FIRE","State and Contract Counties ",321,"BGT","ELECTRICAL POWER",NA,NA,NA,NA,"2016",9,1,1,0,1,0,NA,NA
"KRN-35570","KERN","FLAT","9/19/16","9/22/16","CC","State and Contract Counties ",307,"G","EQUIPMENT",NA,NA,NA,NA,"2016",9,0,0,0,1,0,NA,NA
"LNU-9129","SONOMA","SAWMILL","9/25/16","10/1/16","CAL FIRE","State and Contract Counties ",1547,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",9,0,1,0,1,0,NA,NA
"TCU-10403","TUOLUMNE","MARSHES","9/26/16","10/4/16","CAL FIRE","State and Contract Counties ",1080,"BGT","VEHICLE",NA,NA,NA,NA,"2016",9,1,1,0,1,0,NA,NA
"SCU-6912","SANTA CLARA","LOMA","9/26/16","11/8/16","CAL FIRE","State and Contract Counties ",4474,"BT","UNDETERMINED",28,1,NA,NA,"2016",9,1,1,0,0,0,29,NA
"SLU-5280","SAN LUIS OBISPO","CAMP ROBERTS","5/18/16","5/20/16","MIL","Other Agencies",3712,"G","UNDETERMINED",NA,NA,NA,NA,"2016",5,0,0,0,1,0,NA,NA
"CND-1134","TULARE","CHIMNEY","6/1/16","6/7/16","BLM","Other Agencies",1324,"BG","HUMAN",NA,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"FHL-1475","MONTEREY","STONY","6/2/16","6/17/16","USFS","Other Agencies",3000,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"CND-1171","SAN LUIS OBISPO","SODA","6/4/16","6/6/16","BLM","Other Agencies",2003,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"LAC-457","LOS ANGELES","OLD","6/4/16","6/10/16","LOCAL","Other Agencies",465,"BG","UNDETERMINED",9,1,NA,NA,"2016",6,0,1,0,1,0,10,NA
"LPF-1504","MONTEREY","COLEMAN","6/4/16","6/17/16","USFS","Other Agencies",2520,"BG","UNDETERMINED",1,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"KNF-4500","SISKIYOU","PONY","6/7/16","10/2/16","USFS","Other Agencies",2860,"BT","UNDETERMINED",NA,NA,NA,NA,"2016",6,1,1,0,0,0,NA,NA
"SBC-7344","SANTA BARBARA","SHERPA","6/15/16","6/23/16","USFS","Other Agencies",7474,"BG","UNDETERMINED",5,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"ANF-2417","LOS ANGELES","RESERVOIR","6/20/16","7/5/16","USFS","Other Agencies",1146,"BG","HUMAN",NA,NA,NA,1,"2016",6,0,1,0,1,0,NA,NA
"LAC-177288","LOS ANGELES","FISH","6/20/16","7/5/16","USFS","Other Agencies",4253,"BG","HUMAN",NA,NA,NA,NA,"2016",6,0,1,0,1,0,NA,NA
"CND-1415","KERN","ERSKINE","6/23/16","7/9/16","USFS","Other Agencies",48019,"BGT","UNDETERMINED",286,12,NA,2,"2016",6,1,1,0,1,0,298,NA
"INF-992","MONO","MARINA","6/24/16","7/4/16","USFS","Other Agencies",654,"BT","UNDETERMINED",1,NA,NA,NA,"2016",6,1,1,0,0,0,NA,NA
"YNP-41","MARIPOSA","LAKES","6/26/16","10/31/16","NPS","Other Agencies",1001,"BT","LIGHTNING",NA,NA,NA,NA,"2016",6,1,1,0,0,0,NA,NA
"LPF-1986","VENTURA","PINE","6/30/16","7/17/16","USFS","Other Agencies",2304,"BT","UNDETERMINED",NA,NA,NA,NA,"2016",6,1,1,0,0,0,NA,NA
"MCP-2125","SAN DIEGO","ROBLAR","7/21/16","7/27/16","MIL","Other Agencies",1245,"BG","UNDETERMINED",NA,NA,NA,NA,"2016",7,0,1,0,1,0,NA,NA
"ANF-3008","LOS ANGELES","SAND","7/22/16","8/6/16","USFS","Other Agencies",41383,"BGT","UNDETERMINED",116,20,NA,1,"2016",7,1,1,0,1,0,136,NA
"INF-1415","MONO","CLARK","8/4/16","8/12/16","USFS","Other Agencies",2819,"BGT","LIGHTNING",NA,NA,NA,NA,"2016",8,1,1,0,1,0,NA,NA
"BDF-10205","SAN BERNARDINO","PILOT","8/7/16","8/16/16","USFS","Other Agencies",8110,"BGT","UNDETERMINED",NA,NA,NA,NA,"2016",8,1,1,0,1,0,NA,NA
"INF-1457","INYO","HORSESHOE","8/9/16","8/17/16","USFS","Other Agencies",369,"BT","UNDETERMINED",NA,NA,NA,NA,"2016",8,1,1,0,0,0,NA,NA
"SQF-2595","KERN","CEDAR","8/16/16","9/24/16","USFS","Other Agencies",29322,"BT","UNDETERMINED",6,NA,NA,NA,"2016",8,1,1,0,0,0,NA,NA
"BDF-10468","SAN BERNARDINO","BLUECUT","8/16/16","9/8/16","USFS","Other Agencies",36274,"BGT","UNDETERMINED",321,8,NA,NA,"2016",8,1,1,0,1,0,329,NA
"LPF-2809","SANTA BARBARA","REY","8/18/16","9/15/16","USFS","Other Agencies",32606,"BG","UNDETERMINED",5,NA,NA,NA,"2016",8,0,1,0,1,0,NA,NA
"STF-2257","ALPINE","MOKELUMNE","8/19/16","9/20/16","USFS","Other Agencies",655,"BGT","LIGHTNING",NA,NA,NA,NA,"2016",8,1,1,0,1,0,NA,NA
"SQF-2683","TULARE","TULE","8/22/16","8/22/16","USFS","Other Agencies",395,"BGT","UNDETERMINED",NA,NA,NA,NA,"2016",8,1,1,0,1,0,NA,NA
"KNF-7501","SISKIYOU","GAP","8/27/16","9/16/16","USFS","Other Agencies",33867,"BT","UNDETERMINED",14,NA,NA,NA,"2016",8,1,1,0,0,0,NA,NA
"SNF-2154","FRESNO","CROWN","9/15/16","10/31/16","USFS","Other Agencies",800,"T","LIGHTNING",NA,NA,NA,NA,"2016",9,1,0,0,0,0,NA,NA
"AFV-3151","SANTA BARBARA","CANYON","9/17/16","9/24/16","MIL","Other Agencies",12742,"B","UNDETERMINED",NA,NA,1,NA,"2016",9,0,1,0,0,0,NA,NA
"MDF-910","MODOC","SOUP COMPLEX","9/17/16","10/31/16","USFS","Other Agencies",2722,"GT","UNDETERMINED",NA,NA,NA,NA,"2016",9,1,0,0,1,0,NA,NA
"INF-1763","MONO","OWENS RIVER","9/17/16","10/15/16","USFS","Other Agencies",5443,"BGT","UNDETERMINED",4,NA,NA,NA,"2016",9,1,1,0,1,0,NA,NA
"SQF-3261","TULARE","SLATE","10/4/16","11/5/16","USFS","Other Agencies",2160,"BT","LIGHTNING",NA,NA,NA,NA,"2016",10,1,1,0,0,0,NA,NA
"SNF-2370","FRESNO","SACATA","10/11/16","10/19/16","USFS","Other Agencies",2100,"BGT","UNDETERMINED",NA,NA,NA,NA,"2016",10,1,1,0,1,0,NA,NA
"SQF-3384","TULARE","JACOBSON","10/20/16","11/1/16","USFS","Other Agencies",1702,"BT","UNDETERMINED",NA,NA,NA,NA,"2016",10,1,1,0,0,0,NA,NA
"SQF-3456","TULARE","MEADOW","10/29/16","11/22/16","USFS","Other Agencies",4347,"BT","LIGHTNING",NA,NA,NA,NA,"2016",10,1,1,0,0,0,NA,NA
"SQF-3464","TULARE","HIDDEN","11/2/16","11/23/16","USFS","Other Agencies",2768,"BT","LIGHTNING",NA,NA,NA,NA,"2016",11,1,1,0,0,0,NA,NA
"FKU-5281","FRESNO","JAYNE","4/20/17","4/21/17","CAL FIRE","State and Contract Counties ",4532,"G","EQUIPMENT USE",NA,NA,NA,NA,"2017",4,0,0,0,1,0,NA,NA
"FKU-5669","FRESNO","EL DORADO","4/28/17","4/28/17","CAL FIRE","State and Contract Counties ",750,"G","UNDETERMINED",NA,NA,NA,NA,"2017",4,0,0,0,1,0,NA,NA
"RRU-53193","RIVERSIDE","OPERA","4/30/17","5/2/17","CAL FIRE","State and Contract Counties ",1350,"BG","VEHICLE",NA,NA,NA,NA,"2017",4,0,1,0,1,0,NA,NA
"MMU-9464","MERCED","WRIGHT","5/12/17","5/13/17","CAL FIRE","State and Contract Counties ",1733,"G","UNDETERMINED",NA,NA,NA,NA,"2017",5,0,0,0,1,0,NA,NA
"FKU-6727","FRESNO","ELM 2","5/18/17","5/21/17","CAL FIRE","State and Contract Counties ",10000,"BG","ELECTRICAL POWER",NA,NA,NA,NA,"2017",5,0,1,0,1,0,NA,NA
"KRN-18713","KERN","MING","5/20/17","5/22/17","CC","State and Contract Counties ",506,"G","UNDETERMINED",NA,NA,NA,NA,"2017",5,0,0,0,1,0,NA,NA
"MVU-12098","SAN DIEGO","GATE","5/20/17","5/22/17","CAL FIRE","State and Contract Counties ",2056,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",5,0,1,0,1,0,NA,NA
"TUU-286","TULARE","DINELY","6/7/17","6/10/17","CAL FIRE","State and Contract Counties ",339,"BG","EQUIPMENT USE",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"MMU-11650","MADERA","OAKWOOD","6/10/17","6/13/17","CAL FIRE","State and Contract Counties ",1417,"BG","SHOOTING",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"FKU-8044","FRESNO","MONTEREY","6/11/17","6/11/17","CAL FIRE","State and Contract Counties ",450,"G","SHOOTING",NA,NA,NA,NA,"2017",6,0,0,0,1,0,NA,NA
"LAC-178275","LOS ANGELES","LAKE","6/17/17","6/23/17","CC","State and Contract Counties ",850,"BG","UNDETERMINED",NA,2,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"FKU-8759","FRESNO","CREEK","6/23/17","6/27/17","CAL FIRE","State and Contract Counties ",357,"BG","DEBRIS BURNING",4,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"LAC-187296","LOS ANGELES","PLACERITA","6/25/17","6/28/17","CC","State and Contract Counties ",760,"BG","DEBRIS BURNING",1,1,NA,NA,"2017",6,0,1,0,1,0,2,NA
"RRU-78840","RIVERSIDE","MANZANITA","6/26/17","6/30/17","CAL FIRE","State and Contract Counties ",6309,"BG","VEHICLE",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"SLU-7101","SAN LUIS OBISPO","HILL","6/26/17","6/28/17","CAL FIRE","State and Contract Counties ",1626,"BG","VEHICLE",7,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"MMU-13022","MARIPOSA","BEN","6/28/17","7/6/17","CAL FIRE","State and Contract Counties ",558,"BG","VEHICLE",NA,NA,NA,NA,"2017",6,0,1,0,1,0,NA,NA
"KRN-24894","KERN","TARINA","6/30/17","7/1/17","CC","State and Contract Counties ",1200,"G","UNDETERMINED",NA,NA,NA,NA,"2017",6,0,0,0,1,0,NA,NA
"FKU-9289","FRESNO","DERRICK","7/2/17","7/5/17","CAL FIRE","State and Contract Counties ",1562,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"SKU-4779","SISKIYOU","FAY","7/5/17","7/31/17","CAL FIRE","State and Contract Counties ",496,"BGT","MISCELLANEOUS",1,NA,NA,NA,"2017",7,1,1,0,1,0,NA,NA
"LNU-6262","YOLO","WINTER","7/6/17","7/14/17","CAL FIRE","State and Contract Counties ",1700,"BT","VEHICLE",NA,NA,NA,NA,"2017",7,1,1,0,0,0,NA,NA
"SLU-7624","SAN LUIS OBISPO","ALAMO","7/6/17","7/18/17","CAL FIRE","State and Contract Counties ",28687,"BG","UNDETERMINED",14,1,NA,NA,"2017",7,0,1,0,1,0,15,NA
"BTU-10975","BUTTE","WALL","7/7/17","8/3/17","CAL FIRE","State and Contract Counties ",6033,"BG","ELECTRICAL POWER",91,10,NA,NA,"2017",7,0,1,0,1,0,101,NA
"BEU-3551","MONTEREY","PARKFIELD","7/8/17","7/8/17","CAL FIRE","State and Contract Counties ",1816,"BG","ELECTRICAL POWER",NA,1,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"FKU-9755","KINGS","GARZA","7/9/17","7/25/17","CAL FIRE","State and Contract Counties ",48660,"BG","EQUIPMENT USE",1,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"SLU-7792","SAN LUIS OBISPO","STONE","7/9/17","7/11/17","CAL FIRE","State and Contract Counties ",340,"BG","EQUIPMENT USE",3,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"MVU-16909","SAN DIEGO","JENNINGS 2","7/11/17","7/14/17","CAL FIRE","State and Contract Counties ",400,"BG","VEHICLE",NA,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
"BDU-9854","SAN BERNARDINO","BRIDGE 2","7/14/17","7/18/17","CAL FIRE","State and Contract Counties ",460,"BG","UNDETERMINED",NA,NA,NA,NA,"2017",7,0,1,0,1,0,NA,NA
